sku	name	original_codes	description	applications	image_url
RV0233.3112	MANGUEIRA SUPERIOR DO RADIADOR MAZDA 2.0L	1368949 / MMH62	MANGUEIRA SUPERIOR DO RADIADOR MAZDA 2.0L. Aplicado em HYSTER H55XM / YALE GLP050. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	HYSTER H55XM / YALE GLP050	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738488/rv02333112_iqoldp.png"""
RV0233.3180	MANGUEIRA SUPERIOR DO RADIADOR MITSUBISHI	91402-10100 / 9140210100 / MMMH18	MANGUEIRA SUPERIOR DO RADIADOR MITSUBISHI. Aplicado em MITSUBISHI FG20 FG25 COM MOTOR 4G63. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	MITSUBISHI FG20 FG25 COM MOTOR 4G63	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738668/rv02333180_kv5pzs.png"""
RV0233.3085	MANGUEIRA DO TANQUE P/ BOMBA TOYOTA	68115-26600-71 / MMT03	MANGUEIRA DO TANQUE P/ BOMBA TOYOTA. Aplicado em TOYOTA 8FG25. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	TOYOTA 8FG25	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738317/rv02333085_crnhle.png"""
RV0233.3079	MANGUEIRA INFERIOR DO RADIADOR	2796972 / MMCK129	MANGUEIRA INFERIOR DO RADIADOR. Aplicado em CLARK CGP25. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	CLARK CGP25	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738326/rv02333079_f0vbzg.png"""
RV0233.3117	MANGUEIRA INFERIOR DO RADIADOR	925356 / MMCK141	MANGUEIRA INFERIOR DO RADIADOR. Aplicado em CLARK CQ20-30L. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	CLARK CQ20-30L	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738662/rv02333117_ilwhaa.png"""
RV0233.3119	MANGUEIRA INFERIOR DO RADIADOR	8058818 / MMCK148	MANGUEIRA INFERIOR DO RADIADOR. Aplicado em CLARK CQ20-30L. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	CLARK CQ20-30L	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738662/rv02333119_vefii5.png"""
RV0233.3109	MANGUEIRA INFERIOR DO RADIADOR	926109 / MMCK143	MANGUEIRA INFERIOR DO RADIADOR. Aplicado em CLARK CMP25. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	CLARK CMP25	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738311/rv02333109_u07sjd.png"""
RV0233.3081	MANGUEIRA INFERIOR DO RADIADOR	8000114 / MMCK151	MANGUEIRA INFERIOR DO RADIADOR. Aplicado em CLARK C25L. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	CLARK C25L	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738267/rv02333081_obvajg.png"""
RV0233.3086	MANGUEIRA INFERIOR DO RADIADOR	16512-23420-71 / 16512-26600-71 / MMT02	MANGUEIRA INFERIOR DO RADIADOR. Aplicado em TOYOTA 8FG25. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	TOYOTA 8FG25	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738317/rv02333086_haawqn.png"""
RV0233.3087	MANGUEIRA INFERIOR REBOCADOR	16512-43620-71 / MMT05	MANGUEIRA INFERIOR REBOCADOR. Aplicado em REBOCADOR TOYOTA 2TG10. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	REBOCADOR TOYOTA 2TG10	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738503/rv02333087_lcsnk3.png"""
RV0233.3101	MANGUEIRA INFERIOR DO RADIADOR GM2.4L - 2085268 - HYSTER H70FT	2085268 / 580069000 / MMY77	MANGUEIRA INFERIOR DO RADIADOR GM2.4L - 2085268 - HYSTER H70FT. Aplicado em HYSTER FT / YALE VX. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	HYSTER FT / YALE VX	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738505/rv02333101_t50vyn.png"""
RV0233.3105	MANGUEIRA INFERIOR DO RADIADOR HANGCHA RW22/ RW22B	R5319330002000 / R531-9330002-000 / R5319-330002-000 / NC9717330002000 / MMHG02	MANGUEIRA INFERIOR DO RADIADOR HANGCHA RW22/ RW22B. Aplicado em HANGCHA / CMH / CPQD 20/25/30/35N / Motor Nissan K25. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	HANGCHA / CMH / CPQD 20/25/30/35N / Motor Nissan K25	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738382/rv02333105_ggda9d.png"""
RV0233.3106	MANGUEIRA INFERIOR DO RADIADOR HANGCHA R453-330002-000	R453330002000 / R453-330002-000 / MMHG04	MANGUEIRA INFERIOR DO RADIADOR HANGCHA R453-330002-000. Aplicado em HANCHA GCPCD40/45-RXW17-Y / HCPCD50-RXW17-Y / MCPCD40/45-RXW17B-Y / NCPCD50-RXW17B-Y / ICPCD40/45-RW19 / JCPCD50-RXW19. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	HANCHA GCPCD40/45-RXW17-Y / HCPCD50-RXW17-Y / MCPCD40/45-RXW17B-Y / NCPCD50-RXW17B-Y / ICPCD40/45-RW19 / JCPCD50-RXW19	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738516/rv02333106_infnz7.png"""
RV0233.3115	MANGUEIRA INFERIOR DO RADIADOR DAEWOO G20/G25/G30s - 90941902 / TCM	IN82512 / A250797 / 220010860 / 90941902 / 3049331 / 1099912 / LP2942066 / MMDAW2	MANGUEIRA INFERIOR DO RADIADOR DAEWOO G20/G25/G30s - 90941902 / TCM. Aplicado em DAEWOO G20/25/30s MOTOR HÉRCULES / TCM. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	DAEWOO G20/25/30s MOTOR HÉRCULES / TCM	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738548/rv02333115_tlse3t.png"""
RV0233.3089	MANGUEIRA INFERIOR DO RADIADOR HYUNDAI 11FU-30040	11FU-30040 / 11FU30040 / MM30040	MANGUEIRA INFERIOR DO RADIADOR HYUNDAI 11FU-30040. Aplicado em *. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	*	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738289/rv02333089_bqzfch.png"""
RV0233.3095	MANGUEIRA INFERIOR DO RADIADOR PSI2.4L 4628004	4628004 / 582031223	MANGUEIRA INFERIOR DO RADIADOR PSI2.4L 4628004. Aplicado em MOTOR PSI2.4L. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	MOTOR PSI2.4L	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738310/rv02333095_hhilmw.png"""
RV0233.3100	MANGUEIRA INFERIOR DO RADIADOR MAZDA 2.2L - 2069698 - HYSTER H55FT	2069698 / 580051202 / MMY74	MANGUEIRA INFERIOR DO RADIADOR MAZDA 2.2L - 2069698 - HYSTER H55FT. Aplicado em HYSTER FT / YALE VX. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	HYSTER FT / YALE VX	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738316/rv02333100_egzbt8.png"""
RV0233.3111	MANGUEIRA INFERIOR DO RADIADOR MAZDA 2.0L H55XM	1339634 / 1339651 / MMH54	MANGUEIRA INFERIOR DO RADIADOR MAZDA 2.0L H55XM. Aplicado em HYSTER H55XM / YALE GLP050. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	HYSTER H55XM / YALE GLP050	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738513/rv02333111_lxavom.png"""
RV0233.3179	MANGUEIRA INFERIOR DO RADIADOR MITSUBISHI FG20/25	91402-10200 / 9140210200	MANGUEIRA INFERIOR DO RADIADOR MITSUBISHI FG20/25. Aplicado em MITSUBISHI FG20 FG25. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	MITSUBISHI FG20 FG25	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738667/rv02333179_inhxpw.png"""
RV0407.2113	VÁLVULA TERMOSTÁTICA MOTOR WANFENG WF491GP	491Q-1306010	VÁLVULA TERMOSTÁTICA MOTOR WANFENG WF491GP. Aplicado em MOTOR WANFENG WF491GP. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	MOTOR WANFENG WF491GP	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739061/rv04072113_lxc5uo.png"""
RV0407.2114	VÁLVULA TERMOSTÁTICA MOTOR TOYOTA 4Y	90916-03950-71 / 909160395071	VÁLVULA TERMOSTÁTICA MOTOR TOYOTA 4Y. Aplicado em MOTOR TOYOTA 4Y. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	MOTOR TOYOTA 4Y	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739065/rv04072114_zhx20h.png"""
RV0407.2115	VÁLVULA TERMOSTÁTICA 76º MOTOR NISSAN	21200-50K00 / 2120050K00	VÁLVULA TERMOSTÁTICA 76º MOTOR NISSAN. Aplicado em MOTOR NISSAN K21/K25. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	MOTOR NISSAN K21/K25	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739066/rv04072115_sdahvo.png"""
RV0227.2118	VÁLVULA TERMOSTÁTICA MOTOR OPALA	803254 / VT207.75	VÁLVULA TERMOSTÁTICA MOTOR OPALA. Aplicado em MOTOR OPALA 4CC/6CC. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	MOTOR OPALA 4CC/6CC	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738615/rv02272118_pdsgms.png"""
RV0407.2119	VÁLVULA TERMOSTÁTICA MOTOR MAZDA 2.0 / 2.2 / MITSUBISHI 4G63/4G64	1361820 / 2082929 / 524253576 / VT254.82	VÁLVULA TERMOSTÁTICA MOTOR MAZDA 2.0 / 2.2 / MITSUBISHI 4G63/4G64. Aplicado em H55XM / H50FT. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	H55XM / H50FT	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739070/rv04072119_qd5r3d.png"""
RV0227.2120	VÁLVULA TERMOSTÁTICA MOTOR GM2.4L	1584121 / 580056945 / TEM-THOMSON VT361.87	VÁLVULA TERMOSTÁTICA MOTOR GM2.4L. Aplicado em MOTOR GM2.4L. Responsável pelo resfriamento do motor, garantindo o desempenho ideal e evitando superaquecimentos em operações industriais.	MOTOR GM2.4L	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738570/rv02272120_sk24ul.png"""
RV0433.5005	ASSENTO OPERADOR - BF2-3 C/ SUSPENSO MECNICA		ASSENTO OPERADOR - BF2-3 C/ SUSPENSO MECNICA. Aplicado em diversas mquinas e modelos. Conforto e ergonomia para operadores de empilhadeiras e equipamentos industriais, com estrutura reforada e suspenso eficiente.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739722/rv04335005_zdnhjl.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739673/rv04335005n2_m1gnpu.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739668/rv04335005n1_ppnpjh.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739717/rv04335005n3_hnpwox.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739673/rv04335005n4_acc2es.jpg"""
RV0433.5006	ASSENTO OPERADOR - BF5-2		ASSENTO OPERADOR - BF5-2. Aplicado em diversas máquinas e modelos. Conforto e ergonomia para operadores de empilhadeiras e equipamentos industriais, com estrutura reforçada e suspensão eficiente.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739673/rv04335006_oun9du.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739673/rv04335006n1_v0a24l.png"""
RV0427.3000	BOMBA HIDRÁULICA STILL EGV16	ST 4401401 / ST 4497635	BOMBA HIDRÁULICA STILL EGV16. Aplicado em STILL EGV14/16 LINDE L14/16. Essencial para o sistema hidráulico, garantindo eficiência e controle em empilhadeiras e veículos industriais.	STILL EGV14/16 LINDE L14/16	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739564/rv04273000_kmognb.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739565/rv04273000n2_mig36n.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739711/rv04273000n1_clwcfa.png"""
RV0227.3001	BOMBA HIDRÁULICA TOYOTA 4Y (CORPO DE FERRO) (EIXO 10 ESTRIAS)	2317742 / 2321920 / 327035003	BOMBA HIDRÁULICA TOYOTA 4Y (CORPO DE FERRO) (EIXO 10 ESTRIAS). Aplicado em 8FG20/25/30 MOTOR 4Y. Essencial para o sistema hidráulico, garantindo eficiência e controle em empilhadeiras e veículos industriais.	8FG20/25/30 MOTOR 4Y	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738554/rv02273001_lejneb.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738549/rv02273001n1_rwojrf.png"""
RV0227.3104	BOMBA HIDRÁULICA TOYOTA 4Y (CORPO ALUMÍNIO) (EIXO 10 ESTRIAS)	12101027092 / 61440-33330-71 / 67120-26650-71 / 67120-26651-71 / 67120-U2230-71 / 67120-26661-71 / 67120-U2231-71	BOMBA HIDRÁULICA TOYOTA 4Y (CORPO ALUMÍNIO) (EIXO 10 ESTRIAS). Aplicado em 8FG20/25/30 MOTOR 4Y. Essencial para o sistema hidráulico, garantindo eficiência e controle em empilhadeiras e veículos industriais.	8FG20/25/30 MOTOR 4Y	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738532/rv02273104_r1vxar.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738560/rv02273104n1_c3fcrd.png"""
RV0227.3002	BOMBA HIDRÁULICA MAZDA 2.2L	HY 2067800 / HY 2098695 / YA 580048990 / 317025001 / 2067802	BOMBA HIDRÁULICA MAZDA 2.2L. Aplicado em H45FT / H50FT / H55FT / VX50/55. Essencial para o sistema hidráulico, garantindo eficiência e controle em empilhadeiras e veículos industriais.	H45FT / H50FT / H55FT / VX50/55	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738611/rv02273002_qhislk.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738549/rv02273002n1_farwwy.png"""
RV0227.3005	BOMBA HIDRÁULICA PRINCIPAL CLARK	CLARK 926346 / 2771830	BOMBA HIDRÁULICA PRINCIPAL CLARK. Aplicado em CMP25 / GPY25 2,5ton. Essencial para o sistema hidráulico, garantindo eficiência e controle em empilhadeiras e veículos industriais.	CMP25 / GPY25 2,5ton	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738555/rv02273005_repebh.png"""
RV0227.3011	BOMBA HIDRÁULICA HYSTER	HY 1335921 / CONVERTE 505963502	BOMBA HIDRÁULICA HYSTER. Aplicado em H55XM. Essencial para o sistema hidráulico, garantindo eficiência e controle em empilhadeiras e veículos industriais.	H55XM	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738560/rv02273011_l3kg8z.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738610/rv02273011n1_egkynh.jpg"""
RV0227.3012	BOMBA HIDRÁULICA CLARK	CL 246374	BOMBA HIDRULICA CLARK. Aplicado em FUNO TRANSMISSO. Essencial para o sistema hidrulico, garantindo eficincia e controle em empilhadeiras e veculos industriais.	FUNO TRANSMISSO	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738587/rv02273012_iuigt4.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738645/rv02273012n1_lvaqxt.png"""
RV0227.3013	BOMBA HIDRÁULICA STILL MODELO 2 A 4 TON	ST 2317742 / ST 2321920 / MD327035003	BOMBA HIDRÁULICA STILL MODELO 2 A 4 TON. Aplicado em CLX25 / CLX30. Essencial para o sistema hidráulico, garantindo eficiência e controle em empilhadeiras e veículos industriais.	CLX25 / CLX30	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738645/rv02273013_a1tjdx.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738591/rv02273013n1_k0noz1.png"""
RV0227.3014	BOMBA HIDRÁULICA NISSAN K25 - ANTI-HORÁRIO	327035001	BOMBA HIDRÁULICA NISSAN K25 - ANTI-HORÁRIO. Aplicado em MOTOR K25. Essencial para o sistema hidráulico, garantindo eficiência e controle em empilhadeiras e veículos industriais.	MOTOR K25	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738591/rv02273014_xr4gc7.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738592/rv02273014n1_jvicgp.png"""
RV0227.3015	BOMBA HIDRULICA CLARK TRANSMISSO	CL 246375	BOMBA HIDRULICA CLARK TRANSMISSO. Aplicado em CMP25 / CMP30 / CQ25 / CQ30 / CPY25. Essencial para o sistema hidrulico, garantindo eficincia e controle em empilhadeiras e veculos industriais.	CMP25 / CMP30 / CQ25 / CQ30 / CPY25	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738656/rv02273015_ka31pn.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738616/rv02273015n1_ordmli.png"""
RV0227.3016	BOMBA HIDRÁULICA MITSUBISHI 4G64	MT-9157100100 / 327035002	BOMBA HIDRÁULICA MITSUBISHI 4G64. Aplicado em FG25 COM MOTOR 4G64. Essencial para o sistema hidráulico, garantindo eficiência e controle em empilhadeiras e veículos industriais.	FG25 COM MOTOR 4G64	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738617/rv02273016_ocku9d.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738564/rv02273016n1_hffjyg.png"""
RV0227.3017	BOMBA HIDRULICA HYSTER FUNO PRINCIPAL (DIREO)	HY 1455404 / HY 1335922 / 1375160 / 2037189 / 2037190 / 580011187 / 8525936 / 8504564	BOMBA HIDRULICA HYSTER FUNO PRINCIPAL (DIREO). Aplicado em HYSTER 45/50/55/60XM / YALE GTP050RL. Essencial para o sistema hidrulico, garantindo eficincia e controle em empilhadeiras e veculos industriais.	HYSTER 45/50/55/60XM / YALE GTP050RL	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738620/rv02273017_t5ltkl.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738621/rv02273017n1_mruuv9.png"""
RV0227.3018	BOMBA HIDRULICA CLARK TRANSMISSO	CL 246495	BOMBA HIDRULICA CLARK TRANSMISSO. Aplicado em CMP30/45/50. Essencial para o sistema hidrulico, garantindo eficincia e controle em empilhadeiras e veculos industriais.	CMP30/45/50	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738622/rv02273018_r4fezd.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738622/rv02273018n1_jmber9.png"""
RV0227.3019	BOMBA HIDRÁULICA NISSAN K25 - HORÁRIO	317035001	BOMBA HIDRÁULICA NISSAN K25 - HORÁRIO. Aplicado em NISSAN K25 - HORÁRIO. Essencial para o sistema hidráulico, garantindo eficiência e controle em empilhadeiras e veículos industriais.	NISSAN K25 - HORÁRIO	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738235/rv02273019_bjz0gg.jpg"""
RV0227.3020	BOMBA HIDRÁULICA CLARK	809802	BOMBA HIDRÁULICA CLARK. Aplicado em HYSTER H55 / 45N / 55N DIESEL. Essencial para o sistema hidráulico, garantindo eficiência e controle em empilhadeiras e veículos industriais.	HYSTER H55 / 45N / 55N DIESEL	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738627/rv02273020_g1c7ym.png"""
RV0227.3032	BOMBA HIDRÁULICA - TOYOTA PRINCIPAL	67130-12400-71	BOMBA HIDRÁULICA - TOYOTA PRINCIPAL. Aplicado em 6FBRE 12/14/16/20. Essencial para o sistema hidráulico, garantindo eficiência e controle em empilhadeiras e veículos industriais.	6FBRE 12/14/16/20	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738627/rv02273032_mwak9w.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738639/rv02273032n1_qowbki.png"""
RV0409.3057	CHAVE DE EMERGÊNCIA ALBRIGHT ED 125-16	ED 125-16	CHAVE DE EMERGÊNCIA ALBRIGHT ED 125-16. Aplicado em diversas máquinas e modelos. Ideal para sistemas de segurança, proporcionando corte imediato de energia em empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739387/rv04093057_o7c3zf.png"""
RV0409.3058	CHAVE DE EMERGÊNCIA ALBRIGHT ED 250-1	ED 250-1	CHAVE DE EMERGÊNCIA ALBRIGHT ED 250-1. Aplicado em diversas máquinas e modelos. Ideal para sistemas de segurança, proporcionando corte imediato de energia em empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739389/rv04093058_mdhzyu.png"""
RV0409.3062	CHAVE DE EMERGÊNCIA ALBRIGHT SD300A-4 - 48V / PALETRANS PR20/PR16 - 0431108	SD 300A-4	CHAVE DE EMERGÊNCIA ALBRIGHT SD300A-4 - 48V / PALETRANS PR20/PR16 - 0431108. Aplicado em diversas máquinas e modelos. Ideal para sistemas de segurança, proporcionando corte imediato de energia em empilhadeiras e veículos industriais.	PALETRANS PR20/PR16 - 0431108	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739394/rv04093062_qlvtoh.jpg"""
RV0409.3064	CHAVE DE EMERGÊNCIA ALBRIGHT SD250A-43 - 24V / HYSTER MATRIX / YALE MR16, MR20H	SD 250A-43	CHAVE DE EMERGÊNCIA ALBRIGHT SD250A-43 - 24V / HYSTER MATRIX / YALE MR16, MR20H. Aplicado em diversas máquinas e modelos. Ideal para sistemas de segurança, proporcionando corte imediato de energia em empilhadeiras e veículos industriais.	HYSTER MATRIX / YALE MR16, MR20H	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739399/rv04093064_pq2gfd.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739400/rv04093064n1_wwho5l.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739400/rv04093064n2_zqjagv.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739405/rv04093064n3_zxkmro.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739405/rv04093064n4_blqtg3.jpg"""
RV0409.3411	CHAVE DE EMERGENCIA ALBRIGHT SD200A-48 24V	SD 200A-48	CHAVE DE EMERGENCIA ALBRIGHT SD200A-48 24V. Aplicado em diversas máquinas e modelos. Ideal para sistemas de segurança, proporcionando corte imediato de energia em empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739423/rv04093411_e7hbg8.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739424/rv04093411n3_xvxvbl.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739429/rv04093411n1_xkj9bn.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739429/rv04093411n2_nqeysf.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739430/rv04093411n4_f58vuv.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739430/rv04093411n6_tuk9dq.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739430/rv04093411n5_yeywkm.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739435/rv04093411n8_t5aby4.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739436/rv04093411n9_gnejv7.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739515/rv04093411n7_d8tczx.png"""
RV0409.9495	CHAVE DE EMERGÊNCIA ALBRIGHT SD250A-42 - 48V	SD 250A-42	CHAVE DE EMERGÊNCIA ALBRIGHT SD250A-42 - 48V. Aplicado em diversas máquinas e modelos. Ideal para sistemas de segurança, proporcionando corte imediato de energia em empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739448/rv04099495_ifekax.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739452/rv04099495n1_qixqnh.jpg"""
RV0433.0340	CHAVE DE REVERSO DA TRANSMISSO (1 PLUG) TOYOTA 8FG/D10-30		CHAVE DE REVERSO DA TRANSMISSO (1 PLUG) TOYOTA 8FG/D10-30. Aplicado em diversas mquinas e modelos. Ideal para sistemas de segurana, proporcionando corte imediato de energia em empilhadeiras e veculos industriais.	TOYOTA 8FG/D10-30	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739588/rv04330340_b7bgj9.png"""
RV0433.0294	CHAVE DE REVERSO / SETA COMPLETA - HANGCHA RW 1.0-3.8TON		CHAVE DE REVERSO / SETA COMPLETA - HANGCHA RW 1.0-3.8TON. Aplicado em diversas mquinas e modelos. Ideal para sistemas de segurana, proporcionando corte imediato de energia em empilhadeiras e veculos industriais.	HANGCHA RW 1.0-3.8TON	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739576/rv04330294_kor7is.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739583/rv04330294n1_gorfw0.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739577/rv04330294n2_iiwebe.jpg"""
RV0206.0008	CHICOTE PEDAL MONOTROL/REVERSO H55/60XM	HY 1352090 / YA 580003827	CHICOTE PEDAL MONOTROL/REVERSO H55/60XM. Aplicado em H55/60XM // YALE GP040/50. Responsvel por conectar sistemas eltricos e garantir o funcionamento seguro de empilhadeiras e veculos industriais.	H55/60XM // YALE GP040/50	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738117/rv02060008_zv2ct0.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738118/rv02060008n1_atx6ff.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738118/rv02060008n2_khjhyl.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738119/rv02060008n3_poom8f.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738122/rv02060008n4_qtdyp8.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738122/rv02060008n5_mqvgus.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738123/rv02060008n6_szlfmn.jpg"""
